Asset Capitalization,سرمایه‌ای‌کردن دارایی,
Asset Category,دستهٔ دارایی,
Asset Depreciation Ledger,دفتر استهلاک دارایی,
Asset Depreciation Schedule,جدول زمان‌بندی استهلاک دارایی,
Asset Depreciations and Balances,استهلاک‌ها و مانده دارایی‌ها,
Asset Maintenance,نگهداری دارایی,
Asset Maintenance Log,گزارش نگهداری دارایی,
Asset Maintenance Team,تیم نگهداری دارایی,
Asset Movement,جابجایی دارایی,
Asset Repair,تعمیر دارایی,
Asset Value Adjustment,تعدیل ارزش دارایی,
Asset Value Analytics,تحلیل ارزش دارایی,
Assets,دارایی‌ها,
Assignment Rule,قانون تخصیص,
Audit System Hooks,رویدادهای سیستمی حسابرسی (Hooks),
Audits,ممیزی‌ها,
Authentication,احراز هویت,
Auto Email Report,گزارش خودکار ایمیل,
Auto Repeat,تکرار خودکار,
Automation,اتوماسیون,
Available Batch Report,گزارش بچ‌های موجود,
Available Serial No,شماره سریال موجود,
Available Stock for Packing Items,موجودی قابل‌استفاده برای بسته‌بندی کالاها,
Average Order Value,میانگین ارزش سفارش,
Average Order Values,میانگین ارزش سفارش‌ها,
Background Job,کار پس‌زمینه,
Background Jobs,کارهای پس‌زمینه,
backups,پشتیبان‌گیری‌ها,
Backups,پشتیبان‌گیری‌ها,
Balance Sheet,ترازنامه,
Bank,بانک,
Bank Account,حساب بانکی,
Bank Account Subtype,زیرنوع حساب بانکی,
Bank Account Type,نوع حساب بانکی,
Bank Clearance,تسویهٔ بانکی,
Bank Clearance Summary,خلاصهٔ تسویهٔ بانکی,
Bank Guarantee,ضمانت‌نامهٔ بانکی,
Bank Reconciliation,مغایرت‌گیری بانکی,
Bank Reconciliation Statement,صورت مغایرت‌گیری بانکی,
Bank Reconciliation Tool,ابزار مغایرت‌گیری بانکی,
Banking,بانکداری,
Batch,بچ,
Batch Item Expiry Status,وضعیت انقضای کالای بچ,
Batch No,شمارهٔ بچ,
Batch-Wise Balance History,تاریخچهٔ موجودی بر اساس بچ,
Bill of Materials,فهرست مواد (BOM),
Billed Items To Be Received,کالاهای صورت‌حساب‌شدهٔ در انتظار دریافت,
Blanket Order,سفارش چارچوبی (کلی),
BOM,فهرست مواد (BOM),
BOM Comparison Tool,ابزار مقایسهٔ BOM,
BOM Creator,سازندهٔ BOM,
BOM Explorer,مرورگر BOM,
BOM Operations Time,زمان عملیات BOM,
BOM Search,جستجوی BOM,
BOM Stock Analysis,تحلیل موجودی BOM,
BOM Update Tool,ابزار به‌روزرسانی BOM,
BOM Variance Report,گزارش انحراف BOM,
bom-comparison-tool,ابزار مقایسه BOM,
Branch,شعبه,
Brand,برند,
Budget,بودجه,
Budget Variance,انحراف بودجه,
Budget Variance Report,گزارش انحراف بودجه,
Build,ساخت,
Bulk Update,به‌روزرسانی انبوه,
Buying,خرید,
Buying Settings,تنظیمات خرید,
Calculated Discount Mismatch,عدم تطابق تخفیف محاسبه‌شده,
Campaign,کمپین,
Campaign Efficiency,کارایی کمپین,
Cash Flow,جریان نقدی,
Chart of Accounts,کدینگ حساب‌ها (دفتر حساب‌ها),
Chart of Accounts Importer,وارد کنندهٔ کدینگ حساب‌ها,
Chart of Cost Centers,نمودار مراکز هزینه,
Charts,نمودارها,
Cheques and Deposits Incorrectly cleared,چک‌ها و سپرده‌های به‌اشتباه تسویه‌شده,
Client Code,کد کلاینت,
Client Script,اسکریپت کلاینت,
COA Importer,وارد کنندهٔ کدینگ حساب‌ها,
COGS By Item Group,بهای تمام‌شدهٔ کالای فروش‌رفته بر اساس گروه کالا,
Columns,ستون‌ها,
Communication,ارتباط,
Communication Logs,گزارش‌های ارتباطی,
Completed Projects,پروژه‌های تکمیل‌شده,
Completed Work Orders,دستورهای تولید تکمیل‌شده,
Connected App,برنامهٔ متصل,
Consolidated Financial Statement,صورت مالی تلفیقی,
Consolidated Report,گزارش تلفیقی,
Consolidated Trial Balance,تراز آزمایشی تلفیقی,
Contact,مخاطب,
Contact Us Settings,تنظیمات تماس با ما,
Contacts,مخاطبین,
Content,محتوا,
Contract,قرارداد,
Cost Center,مرکز هزینه,
Cost Center Allocation,تخصیص مرکز هزینه,
Cost Center and Budgeting,مرکز هزینه و بودجه,
Cost of Poor Quality Report,گزارش هزینهٔ کیفیت پایین,
Coupon Code,کد کوپن تخفیف,
Credit Note,برگشت از فروش (نوت بستانکار),
CRM,مدیریت ارتباط با مشتری (CRM),
CRM Settings,تنظیمات CRM,
Currency,ارز,
Currency Exchange,تبدیل ارز,
Currency Exchange Settings,تنظیمات تبدیل ارز,
Custom Blocks,بلوک‌های سفارشی,
Custom Field,فیلد سفارشی,
Custom Financial Statement,صورت‌های مالی سفارشی,
Custom Translation,ترجمهٔ سفارشی,
Customer Acquisition and Loyalty,جذب و وفاداری مشتری,
Customer Addresses And Contacts,نشانی‌ها و اطلاعات تماس مشتری,
Customer Credit Balance,ماندهٔ اعتبار مشتری,
Customer Group,گروه مشتری,
Customer Ledger,دفتر مشتریان,
Customer Ledger Summary,خلاصهٔ دفتر مشتریان,
Customer-wise Item Price,قیمت کالا بر اساس مشتری,
Customers Without Any Sales Transactions,مشتریان بدون هیچ تراکنش فروشی,
Customization,سفارشی‌سازی,
Customize,سفارشی‌سازی,
Customize Form,سفارشی‌سازی فرم,
Customs Tariff Number,شمارهٔ تعرفهٔ گمرکی,
Daily Timesheet Summary,خلاصهٔ کارت ساعت‌کار روزانه,
Dashboard,داشبورد,
Dashboard Chart,نمودار داشبورد,
dashboard-view,نمای داشبورد,
Dashboards,داشبوردها,
Data,داده‌ها,
Data Export,برون‌بری داده‌ها,
Data Import,درون‌ریزی داده‌ها,
Data Import and Settings,درون‌ریزی داده‌ها و تنظیمات,
Database Storage Usage By Tables,میزان استفاده از فضای پایگاه داده بر اساس جداول,
Debit Note,برگشت از خرید (نوت بدهکار),
Deduction Certificate,گواهی کسر مالیات,
Deferred Revenue and Expense,درآمد و هزینهٔ معوق,
Delayed Item Report,گزارش کالاهای دارای تأخیر,
Delayed Order Report,گزارش سفارش‌های دارای تأخیر,
Delayed Tasks Summary,خلاصهٔ وظایف دارای تأخیر,
Deleted Document,سند حذف‌شده,
Deleted Documents,اسناد حذف‌شده,
Delivered Items To Be Billed,کالاهای تحویل‌شده در انتظار صدور صورت‌حساب,
Delivery Note,حواله تحویل کالا,
Delivery Note Trends,روند حواله‌های تحویل کالا,
Delivery Settings,تنظیمات تحویل,
Delivery Trip,سفر تحویل کالا,
Department,واحد سازمانی,
Depreciation Schedule,جدول زمان‌بندی استهلاک,
desktop,دسکتاپ,
Desktop,دسکتاپ,
Dimension-wise Accounts Balance Report,گزارش مانده حساب‌ها بر اساس بُعد,
Disable Prepared Report Automation,غیرفعال‌سازی خودکارسازی گزارش‌های آماده,
Disabled,غیرفعال,
DocType,نوع سند (DocType),
Doctype To Sync,نوع سند برای همگام‌سازی,
Document Share Report,گزارش اشتراک‌گذاری سند,
Download Backups,دریافت نسخه‌های پشتیبان,
Downtime Analysis,تحلیل زمان توقف تولید,
Downtime Entry,ثبت توقف تولید,
Dunning,اخطار بدهی,
Dunning Type,نوع اخطار بدهی,
Electronic Invoice Register,دفتر ثبت فاکتور الکترونیکی,
Email,ایمیل,
Email Account,حساب ایمیل,
Email Campaign,کمپین ایمیل,
Email Domain,دامنهٔ ایمیل,
Email Group,گروه ایمیل,
Email Queue,صف ایمیل,
Email Template,الگوی ایمیل,
ERPNext,ERPNext,
ERPNext Settings,تنظیمات ERPNext,
Error Log,گزارش خطا,
Error Logs,گزارش‌های خطا,
Exchange Rate Revaluation,تجدید ارزیابی نرخ ارز,
Exponential Smoothing Forecasting,پیش‌بینی با هموارسازی نمایی,
Export Data,برون‌بری داده‌ها,
External Link,پیوند خارجی,
Failed Login Attempts,تلاش‌های ناموفق ورود,
Feedback,بازخورد,
Feedback Template,الگوی بازخورد,
FIFO Queue vs Qty After Transaction Comparison,مقایسهٔ صف FIFO با مقدار پس از تراکنش,
Filters,فیلترها,
Finance Book,دفتر مالی,
Financial Ratios,نسبت‌های مالی,
Financial Report Template,الگوی گزارش مالی,
Financial Reports,گزارش‌های مالی,
Financial Statements,صورت‌های مالی,
First Response Time for Issues,اولین زمان پاسخ‌گویی به درخواست‌های پشتیبانی,
First Response Time for Opportunity,اولین زمان پاسخ به فرصت فروش,
Fiscal Year,سال مالی,
Fixed Asset Register,دفتر دارایی‌های ثابت,
For User,برای کاربر,
Forecasting,پیش‌بینی,
Framework,چارچوب,
FX Revaluation,تجدید ارزیابی ارز,
General and Payment Ledger Comparison,مقایسهٔ دفتر کل و دفتر پرداخت,
General Ledger,دفتر کل,
Global Defaults,پیش‌فرض‌های سراسری,
Goal and Procedure,هدف و رویه,
Google,گوگل,
Google Calendar,تقویم گوگل,
Google Calender,تقویم گوگل,
Google Contacts,مخاطبین گوگل,
Google Services,خدمات گوگل,
Google Settings,تنظیمات گوگل,
Gross and Net Profit Report,گزارش سود ناخالص و خالص,
Gross Profit,سود ناخالص,
Header Icon,نماد سربرگ,
Health Report,گزارش سلامت سیستم,
Help Article,مقالهٔ راهنما,
Help Category,دستهٔ راهنما,
Hide Custom DocTypes and Reports,پنهان‌کردن انواع سند و گزارش‌های سفارشی,
Home,خانه,
Icon,نماد,
Import Data,درون‌ریزی داده‌ها,
Import Supplier Invoice,درون‌ریزی فاکتور تأمین‌کننده,
Inactive Customers,مشتریان غیرفعال,
Inactive Sales Items,کالاهای فروش غیرفعال,
Incoming Bills,صورت‌حساب‌های ورودی (خرید),
Incoming Payment,پرداخت دریافتی,
Incorrect Balance Qty After Transaction,مقدار مانده نادرست پس از تراکنش,
Incorrect Serial and Batch Bundle,بستهٔ سریال و بچ نادرست,
Incorrect Serial No Valuation,ارزش‌گذاری نادرست شمارهٔ سریال,
Incorrect Stock Value Report,گزارش ارزش موجودی نادرست,
Indicator Color,رنگ نشانگر,
Installation Note,برگهٔ نصب,
Integrations,یکپارچه‌سازی‌ها,
Invalid Ledger Entries,اسناد دفتر نامعتبر,
Inventory Dimension,بُعد موجودی,
Invoicing,صدور فاکتور,
Inward Order,سفارش ورودی,
IRS 1099,IRS 1099,
Is Hidden,پنهان است,
Is Standard,استاندارد است,
Issue,درخواست پشتیبانی,
Issue Analytics,تحلیل درخواست‌های پشتیبانی,
Issue Priority,اولویت درخواست پشتیبانی,
Issue Summary,خلاصهٔ درخواست‌های پشتیبانی,
Issue Type,نوع درخواست پشتیبانی,
Issued Items Against Work Order,کالاهای صادرشده در مقابل دستور تولید,
Issues,درخواست‌های پشتیبانی,
Item Alternative,کالای جایگزین,
Item Attribute,ویژگی کالا,
Item Balance (Simple),مانده کالا (ساده),
Item Lead Time,زمان تدارک کالا,
Item Manufacturer,سازندهٔ کالا,
Item Price Stock,موجودی و قیمت کالا,
Item Prices,قیمت‌های کالا,
Item Shortage Report,گزارش کسری کالا,
Item Tax Template,الگوی مالیات کالا,
Item Variant Details,جزئیات تنوع کالا,
Item Variant Settings,تنظیمات تنوع کالا,
Item Where Used,محل استفادهٔ کالا,
Item Wise Consumption,مصرف بر اساس کالا,
Item-wise Price List Rate,نرخ لیست قیمت بر اساس کالا,
Item-wise Purchase History,تاریخچهٔ خرید بر اساس کالا,
Item-wise Purchase Register,دفتر خرید بر اساس کالا,
Item-wise Sales History,تاریخچهٔ فروش بر اساس کالا,
Item-wise sales Register,دفتر فروش بر اساس کالا,
Item-wise Sales Register,دفتر فروش بر اساس کالا,
Items & Pricing,کالاها و قیمت‌گذاری,
Items and Pricing,کالاها و قیمت‌گذاری,
Items Catalogue,کاتالوگ کالاها,
Items To Be Received,کالاهای در انتظار دریافت,
Items To Be Requested,کالاهای در انتظار درخواست,
Items to Order and Receive,کالاها برای سفارش و دریافت,
Itemwise Recommended Reorder Level,سطح سفارش مجدد پیشنهادی بر اساس کالا,
Javascript,جاوااسکریپت,
Job Card,کارت کار,
Job Card Summary,خلاصهٔ کارت کار,
Journal Entry,سند حسابداری,
Journal Entry Template,الگوی سند حسابداری,
JSON,JSON,
Key Reports,گزارش‌های کلیدی,
Landed Cost Report,گزارش بهای تمام‌شده در مقصد,
Landed Cost Voucher,سند بهای تمام‌شده در مقصد,
LDAP Settings,تنظیمات LDAP,
Lead,سرنخ فروش,
Lead Conversion Time,زمان تبدیل سرنخ,
Lead Details,جزئیات سرنخ,
Lead Owner Efficiency,کارایی مسئول سرنخ,
Lead Source,منبع سرنخ,
Ledgers,دفاتر,
Letter Head,سربرگ,
Link Cards,کارت‌های پیوند,
Link To,پیوند به,
Link Type,نوع پیوند,
Links,پیوندها,
Location,موقعیت مکانی,
Log Settings,تنظیمات گزارش‌گیری,
Login Activity,فعالیت ورود,
Logs,گزارش‌ها,
Lost Opportunity,فرصت ازدست‌رفته,
Lost Quotations,پیش‌فاکتورهای ازدست‌رفته,
Lower Deduction Certificate,گواهی کسر کمتر مالیات,
Loyalty Point Entry,سند امتیاز وفاداری,
Loyalty Program,برنامهٔ وفاداری,
Maintenance,نگهداری و تعمیرات,
Maintenance Schedule,برنامهٔ نگهداری و تعمیرات,
Maintenance Schedules,برنامه‌های نگهداری و تعمیرات,
Maintenance Visit,بازدید نگهداری و تعمیرات,
Manufactured Items Value,ارزش کالاهای تولیدشده,
Manufacturing,تولید,
Manufacturing Settings,تنظیمات تولید,
Master Production Schedule,برنامهٔ اصلی تولید,
Masters,اطلاعات پایه,
Material Planning,برنامه‌ریزی مواد,
Material Request,درخواست کالا,
Material Requests for which Supplier Quotations are not created,درخواست‌های کالایی که برای آن‌ها پیش‌فاکتور تأمین‌کننده ایجاد نشده است,
Material Requirements Planning,برنامه‌ریزی احتیاجات مواد (MRP),
Material Requirements Planning Report,گزارش برنامه‌ریزی احتیاجات مواد (MRP),
Materials To Be Transferred,مواد در انتظار انتقال,
Meeting,جلسه,
Milestone,نقطهٔ عطف,
Module,ماژول,
Module Def,تعریف ماژول,
Module Onboarding,آشناسازی ماژول,
Modules,ماژول‌ها,
Monthly Distribution,توزیع ماهانه,
Multi Currency,چندارزی,
My Workspaces,فضاهای کاری من,
Name,نام,
Navbar Settings,تنظیمات نوار ناوبری,
Negative Batch Report,گزارش بچ‌های منفی,
New Lead (Last 1 Month),سرنخ‌های جدید (۱ ماه اخیر),
New Opportunity (Last 1 Month),فرصت‌های جدید (۱ ماه اخیر),
Non Completed Tasks,وظایف تکمیل‌نشده,
Non Conformance,عدم انطباق,
Notification,اعلان,
Notification Settings,تنظیمات اعلان,
Notifications,اعلان‌ها,
Number Cards,کارت‌های عددی,
OAuth Client,کلاینت OAuth,
OAuth Provider,ارائه‌دهندهٔ OAuth,
OAuth Provider Settings,تنظیمات ارائه‌دهندهٔ OAuth,
Open Projects,پروژه‌های باز,
Open Work Orders,دستورهای تولید باز,
Opening & Closing,افتتاحیه و اختتامیه,
Opening and Closing,افتتاحیه و اختتامیه,
Opening Invoice Creation Tool,ابزار ایجاد فاکتور افتتاحیه,
Opening Invoice Tool,ابزار فاکتور افتتاحیه,
Operation,عملیات,
Opportunity,فرصت فروش,
Opportunity Summary by Sales Stage,خلاصهٔ فرصت‌های فروش بر اساس مرحلهٔ فروش,
Opportunity Summary by Sales Stage ,خلاصهٔ فرصت‌های فروش بر اساس مرحلهٔ فروش,
Organization,سازمان,
Other Reports,سایر گزارش‌ها,
Other Settings,سایر تنظیمات,
Outgoing Bills,صورت‌حساب‌های خروجی (فروش),
Outgoing Payment,پرداخت پرداختی,
Outward Order,سفارش خروجی,
Package,بسته,
Package Import,درون‌ریزی بسته,
Packages,بسته‌ها,
Packing Slip,برگهٔ بسته‌بندی,
Page,صفحه,
Parent Page,صفحهٔ والد,
Patch Log,گزارش پَچ,
Payables,پرداختنی‌ها,
Payment Ledger,دفتر پرداخت,
Payment Order,دستور پرداخت,
Payment Period Based On Invoice Date,دورهٔ پرداخت بر اساس تاریخ فاکتور,
Payment Reconciliation,تطبیق پرداخت,
Payment Request,درخواست پرداخت,
Payment Term,شرایط پرداخت,
Payment Terms Status for Sales Order,وضعیت شرایط پرداخت سفارش فروش,
Payments,پرداخت‌ها,
Pending SO Items For Purchase Request,کالاهای سفارش فروش در انتظار درخواست خرید,
Period Closing Voucher,سند اختتامیهٔ دوره,
Permission Inspector,بازرس مجوزها,
Permission Log,گزارش مجوزها,
Permission Manager,مدیر مجوزها,
permission-manager,مدیر مجوزها,
Permissions,مجوزها,
Permitted Documents For User,اسناد مجاز برای کاربر,
Pick List,لیست جمع‌آوری کالا,
Plaid Settings,تنظیمات Plaid,
Plant Floor,سالن تولید,
Point of Sale,فروش حضوری (صندوق فروش),
Point Of Sale,فروش حضوری (صندوق فروش),
point-of-sale,صندوق فروش,
Point-of-Sale Profile,پروفایل صندوق فروش,
Portal Settings,تنظیمات پورتال,
POS,صندوق فروش (POS),
POS Closing Entry,سند اختتامیهٔ صندوق فروش,
POS Invoice,فاکتور صندوق فروش,
POS Invoice Merge Log,گزارش ادغام فاکتور صندوق فروش,
POS Opening Entry,سند افتتاحیهٔ صندوق فروش,
POS Profile,پروفایل صندوق فروش,
POS Register,دفتر صندوق فروش,
POS Settings,تنظیمات صندوق فروش,
Prepared Report,گزارش آماده‌شده,
Prepared Report Analytics,تحلیل گزارش‌های آماده‌شده,
Price List,لیست قیمت,
Pricing Rule,قانون قیمت‌گذاری,
print,چاپ,
Print Format,قالب چاپ,
Print Format Builder,سازندهٔ قالب چاپ,
Print Heading,عنوان چاپ,
Print Settings,تنظیمات چاپ,
print-format-builder,سازندهٔ قالب چاپ,
print-format-builder-beta,سازندهٔ قالب چاپ (نسخهٔ آزمایشی),
Printing,چاپ,
Process Loss Report,گزارش ضایعات فرآیند,
Process Payment Reconciliation,پردازش تطبیق پرداخت,
Procurement Tracker,پیگیر تدارکات,
Produced Quantity,مقدار تولیدشده,
Product Bundle,بستهٔ محصول,
Product Bundle Balance,مانده بستهٔ محصول,
Production,تولید,
Production Analytics,تحلیل تولید,
Production Plan,برنامهٔ تولید,
Production Plan Summary,خلاصهٔ برنامهٔ تولید,
Production Planning Report,گزارش برنامه‌ریزی تولید,
Profit and Loss,سود و زیان,
Profit and Loss Statement,صورت سود و زیان,
Profitability,سودآوری,
Profitability Analysis,تحلیل سودآوری,
Project,پروژه,
Project Summary,خلاصهٔ پروژه,
Project Template,الگوی پروژه,
Project Type,نوع پروژه,
Project Update,به‌روزرسانی پروژه,
Project wise Stock Tracking,ردیابی موجودی بر اساس پروژه,
Project wise Stock Tracking ,ردیابی موجودی بر اساس پروژه,
Projects,پروژه‌ها,
Projects Settings,تنظیمات پروژه‌ها,
Promotional Scheme,طرح تشویقی فروش,
Property Setter,تنظیم‌کنندهٔ ویژگی,
Prospect,مشتری بالقوه,
Prospects Engaged But Not Converted,مشتریان بالقوهٔ درگیرشده اما تبدیل‌نشده,
Public,عمومی,
Published Web Forms,فرم‌های وب منتشرشده,
Published Web Pages,صفحات وب منتشرشده,
Purchase Analytics,تحلیل خرید,
Purchase Invoice Trends,روند فاکتورهای خرید,
Purchase Order Analysis,تحلیل سفارش‌های خرید,
Purchase Order Trends,روند سفارش‌های خرید,
Purchase Orders Count,تعداد سفارش‌های خرید,
Purchase Receipt,رسید خرید,
Purchase Receipt Trends,روند رسیدهای خرید,
Purchase Receipt Trends ,روند رسیدهای خرید,
Purchase Register,دفتر خرید,
Purchase Tax Template,الگوی مالیات خرید,
Purchase Taxes and Charges Template,الگوی مالیات و عوارض خرید,
Push Notification,اعلان فوری,
Push Notification Settings,تنظیمات اعلان فوری,
Push Notifications,اعلان‌های فوری,
Quality,کیفیت,
